date,NGDP,RGDP,GNPDEF
1961-12-31,63.09302325581396,17.875545350172217,3.5309017223910844
1962-12-31,66.77906976744185,18.547416762342138,3.601823708206687
1963-12-31,71.20930232558139,19.476463834672792,3.6575481256332325
1964-12-31,75.44186046511628,20.352238805970153,3.7082066869300916
1965-12-31,83.39534883720931,21.957979334098738,3.799392097264438
1966-12-31,90.1046511627907,22.87049368541906,3.9412360688956434
1967-12-31,95.73255813953489,23.60137772675086,4.057750759878419
1968-12-31,104.68604651162791,24.598851894374285,4.257345491388045
1969-12-31,111.86046511627907,24.92606199770379,4.48936170212766
1970-12-31,117.32558139534885,24.90470723306544,4.712765957446809
1971-12-31,128.58139534883722,26.071871412169923,4.933637284701115
1972-12-31,143.43023255813955,27.894144661308843,5.143870314083081
1973-12-31,160.08139534883722,29.07118254879449,5.508611955420466
